George	-	Abercrombie	Adjunct Professor	FUQUA
Manuel	-	Adelino	Assistant Professor	FUQUA
Wilfred	-	Amaldoss	Thomas A. Finch Jr. Professor	FUQUA
James	J.	Anton	Senior Associate Dean for Faculty and Hanes Corporation Foundation Professor	FUQUA
Dan	-	Ariely	James B. Duke Professor	FUQUA
Alessandro	-	Arlotto	Assistant Professor	FUQUA
Ashish	-	Arora	Rex D. Adams Professor	FUQUA
Alison	H.	Ashton	Associate Professor Emeritus	FUQUA
Robert	H.	Ashton	L. Palmer Fox Professor	FUQUA
Santiago	-	Balseiro	Assistant Professor	FUQUA
Ravi	-	Bansal	J. B. Fuqua Professor	FUQUA
Sharon	-	Belenzon	Associate Professor	FUQUA
Alexandre	-	Belloni	Associate Professor and F.M. Kirby Research Fellow	FUQUA
Victor	-	Bennett	Visiting Assistant Professor	FUQUA
Fernando	-	Bernstein	Adrian Allen Research Fellow and Professor	FUQUA
James	R.	Bettman	Burlington Industries Professor	FUQUA
Bryan	-	Bollinger	Assistant Professor	FUQUA
William	-	Boulding	Dean and J.B. Fuqua Professor	FUQUA
Michael	H.	Bradley	F.M. Kirby Emeritus Professor and Professor of Law	FUQUA
Michael	W.	Brandt	Kalman J. Cohen Professor	FUQUA
Alon	-	Brav	Robert L. Dickens Professor	FUQUA
Douglas	T.	Breeden	William W. Priest, Jr. Professor	FUQUA
David	B.	Brown	Associate Professor	FUQUA
Mark	T.	Brown	Director, Management Communication Center	FUQUA
John	-	Buley	Professor of the Practice	FUQUA
Richard	M.	Burton	Professor Emeritus	FUQUA
Ozan	-	Candogan	Assistant Professor	FUQUA
Tanya	L.	Chartrand	Roy J. Bostock Professor	FUQUA
Aaron	(Ronnie)	Chatterji	Associate Professor	FUQUA
Qi	-	Chen	Walter M. Upchurch, Jr. Professor	FUQUA
Li	-	Chen	Associate Professor	FUQUA
Catherine	H.	Clark	Adjunct Professor	FUQUA
Robert	T.	Clemen	Professor Emeritus	FUQUA
Wesley	M.	Cohen	Frederick C. Joerg Professor and Professor of Economics	FUQUA
John	-	Coleman	Professor	FUQUA
Jonathon	N	Cummings	Associate Professor	FUQUA
Brendan	-	Daley	Associate Professor	FUQUA
Greg	-	Davis	Adjunct Professor	FUQUA
John	-	De Figueiredo	Professor Duke School of Law and Professor of Strategy and Economics	FUQUA
Preyas	S	Desai	Spencer R. Hassell Professor	FUQUA
Shane	S.	Dikolli	Associate Dean, Faculty Engagement and Associate Professor of the Practice	FUQUA
Patrick	D.	Duddy	Professor	FUQUA
Scott	D.	Dyreng	Associate Professor	FUQUA
Frank	-	Ecker	Assistant Professor	FUQUA
Paula	N.	Ecklund	Lecturer	FUQUA
Julie	Ann	Edell	Associate Professor	FUQUA
Cynthia	P.	Edmondson	Lecturer	FUQUA
James	D.	Emery	Associate Professor of the Practice	FUQUA
Jordan	-	Etkin	Assistant Professor	FUQUA
Gregory	W.	Fischer	Professor	FUQUA
Grahaminne	M.	Fitzsimons	Associate Professor	FUQUA
Gavan	-	Fitzsimons	R. David Thomas Professor	FUQUA
Jon	-	Fjeld	Professor of the Practice, Professor of Philosophy, Executive Director of the Center for Entrepreneurship and Innovation	FUQUA
Jennifer	-	Francis	Senior Associate Dean for Programs and Douglas and Josie Breeden Professor	FUQUA
John	P.	Gallagher	Associate Dean, Executive MBA Programs and Professor of the Practice	FUQUA
Simon	-	Gervais	William and Sue Gross Research Fellow and Professor	FUQUA
John	R	Graham	D. Richard Mead, Jr. Family Professor	FUQUA
Campbell	R.	Harvey	J. Paul Sticht Professor	FUQUA
David	A.	Hsieh	Bank of America Professor	FUQUA
Joel	C	Huber	Alan D. Schwartz Professor	FUQUA
Xu	-	Jiang	Assistant Professor	FUQUA
John	E	Joseph	Assistant Professor	FUQUA
Aaron	C.	Kay	Associate Professor	FUQUA
Ralph	L.	Keeney	Research Professor Emeritus	FUQUA
Thomas	F	Keller	Dean Emeritus and  R. J. Reynolds Professor Emeritus	FUQUA
A.	Gurhan	Kok	Adjunct Professor	FUQUA
Elena	-	Kulchina	Assistant Professor	FUQUA
Robert	-	Kulhan	Adjunct Professor	FUQUA
Richard	P.	Larrick	Michael W. Krzyzewski University Professor	FUQUA
Dan	J	Laughhunn	Professor Emeritus	FUQUA
Jr.	-	LeBoeuf	Professor of the Practice	FUQUA
Ramon	-	Lecuona Torras	Assistant Professor	FUQUA
Arie	Y.	Lewin	Professor Emeritus	FUQUA
Maureen	Maguire	Lewis	Lecturer	FUQUA
Tracy	R.	Lewis	Martin L. Black, Jr. Professor	FUQUA
E.	Allan	Lind	James L. Vincent Professor	FUQUA
Patricia	W.	Linville	Associate Professor	FUQUA
Giuseppe	(Pino)	Lopomo	Professor	FUQUA
Mary	Frances	Luce	Robert A. Ingram Professor	FUQUA
Pranab	-	Majumder	Associate Professor of the Practice	FUQUA
Leslie	-	Marx	Robert A. Bandeen Professor	FUQUA
Bill	-	Mayew	Associate Professor	FUQUA
David	L.	McAdams	Professor	FUQUA
John	M	McCann	Professor Emeritus	FUQUA
Ryan	-	McDevitt	Assistant Professor	FUQUA
Carl	F.	Mela	T. Austin Finch Foundation Professor	FUQUA
Will	-	Mitchell	Visiting Professor	FUQUA
Jeffrey	L.	Moe	Adjunct Associate Professor	FUQUA
Christine	-	Moorman	T. Austin Finch, Sr. Professor	FUQUA
Patrick	-	Moreton	Associate Dean at DKU, Professor of the Practice	FUQUA
Russ	-	Morgan	Associate Dean for the Duke MBA Daytime and MMS Foundations of Business and Professor of the Practice	FUQUA
Andres	-	Musalem	Adjunct Professor	FUQUA
Robert	F.	Nau	Professor	FUQUA
Per	-	Olsson	Associate Professor	FUQUA
John	W	Payne	Joseph R. Ruvane, Jr. Professor	FUQUA
Aleksandar	Sasa	Pekec	Associate Professor	FUQUA
Jeremy	-	Petranka	Associate Professor of the Practice	FUQUA
Arlie	O	Petters	Professor of Finance (by courtesy), Benjamin Powell Professor & Professor of Mathematics & Physics	FUQUA
Jillian	-	Popadak	Assistant Professor	FUQUA
Manju	-	Puri	J. B. Fuqua Professor	FUQUA
Devavrat	Debu	Purohit	Ford Motor Company Professor	FUQUA
Adriano	A.	Rampini	John D. Forsyth Professor	FUQUA
Peter	J.	Regan	Professor	FUQUA
Lucy	J.	Reuben	Adjunct Professor	FUQUA
Barak	-	Richman	Edgar P. and Elizabeth C. Bartlett Professor of Law and Professor Business Administration	FUQUA
David	B.	Ridley	Dr. and Mrs. Frank A. Riddick Associate Professor of the Practice	FUQUA
David	T.	Robinson	Professor of Finance and J. Rex Fuqua Distinguished Professor of International Management	FUQUA
Ashleigh	S	Rosette	Associate Professor	FUQUA
Ted	-	Ryan	Adjunct Professor	FUQUA
Katherine	A	Schipper	Thomas F. Keller Professor	FUQUA
Lukas	M	Schmid	Associate Professor	FUQUA
Kevin	A.	Schulman	Gregory Mario and Jeremy Mario Professor of Business Administration	FUQUA
Kevin	H	Shang	Associate Professor	FUQUA
James	E.	Sheldon	Adjunct Assistant Professor	FUQUA
Blair	H.	Sheppard	Professor Emeritus	FUQUA
Sim	B.	Sitkin	Professor	FUQUA
Charles	J	Skender	Visiting Professor	FUQUA
James	E	Smith	J.B. Fuqua Professor	FUQUA
Jack	B	Soll	Associate Professor	FUQUA
Jeannette	-	Song	Professor	FUQUA
Richard	-	Staelin	Edward S. & Rose K. Donnell Professor	FUQUA
Jeremiah	P.	Starling	Lecturer	FUQUA
Peng	-	Sun	Associate Professor	FUQUA
Robert	-	Swinney	Associate Professor	FUQUA
Peter	A	Ubel	Associate Director, Health Sector Management and Madge and Dennis T. McLawhorn University Professor	FUQUA
Felipe	-	Varas	Assistant Professor	FUQUA
Rahul	-	Vashishtha	Assistant Professor	FUQUA
Mohan	-	Venkatachalam	R.J. Reynolds Professor	FUQUA
Dan	-	Vermeer	Executive Director, Center for Energy, Development, and the Global Environment and Associate Professor of the Practice	FUQUA
S.	"""Vish"""	Viswanathan	F. M. Kirby Professor	FUQUA
Kimberly	A.	Wade-Benzoni	Associate Professor	FUQUA
Yehua	-	Wei	Assistant Professor	FUQUA
Robert	L.	Winkler	James B. Duke Professor	FUQUA
Stacy	-	Wood	Visiting Professor	FUQUA
Ming	-	Yang	Assistant Professor	FUQUA
Paul	H.	Zipkin	Professor Emeritus	FUQUA
